,INDEX,Date,Id,Loc.x,Loc.y,Loc.z,Hostility,hit,Heart Rate,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,arm.roll,arm.pitch,arm.heading,Shot,body.heading,body.roll,body.pitch,head.heading,head.roll,head.pitch
0,395,2018-02-09 16:32:10.686,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
1,396,2018-02-09 16:32:10.893,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
2,397,2018-02-09 16:32:11.102,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
3,398,2018-02-09 16:32:11.307,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
4,399,2018-02-09 16:32:11.513,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
5,400,2018-02-09 16:32:11.720,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
6,401,2018-02-09 16:32:11.928,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
7,402,2018-02-09 16:32:12.137,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
8,403,2018-02-09 16:32:12.340,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
9,404,2018-02-09 16:32:12.547,1,1,1,1,0,0,1,1,2,3,4,5,6,7,11111111,1.0,1.0,1.0,0,-99.0,-99.0,-99.0,1.0,1.0,1.0
