S_INDEX,S_DATE,S_SHOOTER.ID,S_SHOOTER.LOC.X,S_SHOOTER.LOC.Y,S_SHOOTER.LOC.Z,S_SHOOTER.HOSTILITY,S_SHOOTER.HIT,S_SHOOTER.HR,S_SHOOTER.ARM.EMG,S_SHOOTER.ARM.ROLL,S_SHOOTER.ARM.PITCH,S_SHOOTER.ARM.HEADING,S_SHOOTER.SHOT,S_SHOOTER.BODY.HEADING,S_SHOOTER.BODY.ROLL,S_SHOOTER.BODY.PITCH,S_SHOOTER.HEAD.HEADING,S_SHOOTER.HEAD.ROLL,S_SHOOTER.HEAD.PITCH
43,09-FEB-18 03.52.56.963000000 PM,1,2,3,4,5,6,7,SYSMAN.EMG_OBJ(11111111),8,9,11,12,3,4,5,6,7,8
44,09-FEB-18 04.07.59.702000000 PM,1,1,1,1,1,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
99,09-FEB-18 04.07.59.761000000 PM,1,1,1,1,1,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
100,09-FEB-18 04.07.59.976000000 PM,1,1,1,1,1,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
101,09-FEB-18 04.08.00.186000000 PM,1,1,1,1,1,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
102,09-FEB-18 04.08.00.395000000 PM,1,1,1,1,1,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
103,09-FEB-18 04.08.00.599000000 PM,1,1,1,1,1,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
104,09-FEB-18 04.08.00.813000000 PM,1,1,1,1,1,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
105,09-FEB-18 04.08.01.012000000 PM,1,1,1,1,1,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
106,09-FEB-18 04.08.01.230000000 PM,1,1,1,1,1,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
107,09-FEB-18 04.08.01.434000000 PM,1,1,1,1,1,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
108,09-FEB-18 04.08.01.632000000 PM,1,1,1,1,1,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,1,1,1,1,1,1,1
138,09-FEB-18 04.08.52.046000000 PM,1,-99,-99,-99,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
139,09-FEB-18 04.08.52.127000000 PM,1,-99,-99,-99,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
140,09-FEB-18 04.08.52.336000000 PM,1,129,92,30,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
141,09-FEB-18 04.08.52.541000000 PM,1,129,92,36,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
142,09-FEB-18 04.08.52.752000000 PM,1,131,93,38,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
143,09-FEB-18 04.08.52.961000000 PM,1,135,89,37,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
144,09-FEB-18 04.08.53.167000000 PM,1,134,89,35,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
145,09-FEB-18 04.08.53.371000000 PM,1,133,90,32,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
146,09-FEB-18 04.08.53.570000000 PM,1,138,86,19,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
147,09-FEB-18 04.08.53.782000000 PM,1,138,86,15,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
148,09-FEB-18 04.08.53.989000000 PM,1,141,81,7,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
149,09-FEB-18 04.08.54.192000000 PM,1,144,77,3,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
150,09-FEB-18 04.08.54.396000000 PM,1,145,78,-2,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
151,09-FEB-18 04.08.54.608000000 PM,1,145,79,-1,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
152,09-FEB-18 04.08.54.809000000 PM,1,137,85,5,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
153,09-FEB-18 04.08.55.027000000 PM,1,141,81,4,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
154,09-FEB-18 04.08.55.235000000 PM,1,140,83,6,0,0,79,SYSMAN.EMG_OBJ(11111111),1,1,1,1,-99,-99,-99,1,1,1
155,09-FEB-18 04.09.12.098000000 PM,1,-99,-99,-99,0,0,70,SYSMAN.EMG_OBJ(11111111),1,1,-99,-99,-99,-99,-99,-99,-99,-99
176,09-FEB-18 04.09.55.033000000 PM,1,-99,-99,-99,0,0,62,SYSMAN.EMG_OBJ(-792),-99,-99,-99,-99,-99,-99,-99,1,-99,1
177,09-FEB-18 04.10.14.973000000 PM,1,-99,-99,-99,0,0,80,SYSMAN.EMG_OBJ(-792),-99,-99,1,1,-99,-99,-99,-99,-99,-99
178,09-FEB-18 04.10.15.085000000 PM,1,133,86,17,0,0,80,SYSMAN.EMG_OBJ(-792),-99,-99,1,1,-99,-99,-99,201,0.625,11.4375
179,09-FEB-18 04.10.15.290000000 PM,1,133,85,14,0,0,80,SYSMAN.EMG_OBJ(-792),-99,-99,1,1,-99,-99,-99,201,0.5625,11.4375
180,09-FEB-18 04.10.15.521000000 PM,1,133,84,14,0,0,80,SYSMAN.EMG_OBJ(-792),-99,-99,1,1,-99,-99,-99,201,0.5625,11.4375
181,09-FEB-18 04.10.15.701000000 PM,1,133,84,15,0,0,80,SYSMAN.EMG_OBJ(-792),-99,-99,1,1,-99,-99,-99,201,0.5625,11.4375
182,09-FEB-18 04.10.15.909000000 PM,1,133,83,16,0,0,80,SYSMAN.EMG_OBJ(-792),-99,-99,1,1,-99,-99,-99,201,0.5625,11.4375
183,09-FEB-18 04.10.16.128000000 PM,1,135,85,16,0,0,80,SYSMAN.EMG_OBJ(-792),-99,-99,1,1,-99,-99,-99,201,0.5625,11.4375
184,09-FEB-18 04.10.16.334000000 PM,1,135,85,16,0,0,80,SYSMAN.EMG_OBJ(-792),-99,-99,1,1,-99,-99,-99,201,0.5625,11.4375
185,09-FEB-18 04.10.16.543000000 PM,1,134,85,16,0,0,80,SYSMAN.EMG_OBJ(-792),-99,-99,1,1,-99,-99,-99,201,0.5625,11.4375
186,09-FEB-18 04.10.16.749000000 PM,1,134,84,17,0,0,80,SYSMAN.EMG_OBJ(-792),-99,-99,1,1,-99,-99,-99,201,0.5625,11.4375
187,09-FEB-18 04.10.16.942000000 PM,1,134,84,17,0,0,80,SYSMAN.EMG_OBJ(-792),-99,-99,1,1,-99,-99,-99,201,0.5625,11.4375
286,09-FEB-18 04.29.49.247000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
287,09-FEB-18 04.29.49.448000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
288,09-FEB-18 04.31.36.238000000 PM,1,-99,-99,-99,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
289,09-FEB-18 04.31.36.322000000 PM,1,-99,-99,-99,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,-99,-99,-99
290,09-FEB-18 04.31.36.542000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
291,09-FEB-18 04.31.36.738000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
292,09-FEB-18 04.31.36.947000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(-792),-99,-99,-99,0,-99,-99,-99,1,1,1
293,09-FEB-18 04.31.37.152000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
294,09-FEB-18 04.31.37.357000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
295,09-FEB-18 04.31.37.565000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
296,09-FEB-18 04.31.37.770000000 PM,1,1,1,1,0,0,1,SYSMAN.EMG_OBJ(11111111),1,1,1,0,-99,-99,-99,1,1,1
